Date,Actual,Predicted
2019-06-01,49.001068815259394,43.08476889417975
2019-07-01,47.192381052259,41.019197003244024
2019-08-01,46.64485526955471,43.34175694625255
2019-09-01,47.02854698119185,46.42399039086021
2019-10-01,49.9037570399943,48.246384853975144
2019-11-01,50.827719765549105,46.37463541254969
2019-12-01,50.15978573253792,45.28601381242359
2020-01-01,52.95124388145225,45.707170041515255
2020-02-01,52.68406495192579,45.855525301883574
2020-03-01,50.24447075300761,45.8550146995465
2020-04-01,45.946233778088825,47.28387859990989
2020-05-01,41.49012754779607,38.44132260074652
2020-06-01,39.06116874162741,39.23125957034012
2020-07-01,42.70564631699628,37.37410003972351
2020-08-01,45.85588663705516,36.77810253520403
2020-09-01,46.81506539007521,37.11332250288733
2020-10-01,47.03626314980146,39.94006080816501
2020-11-01,48.52391450206077,40.815551779240096
2020-12-01,49.471108872418505,40.099145992212605
2021-01-01,48.940802391870484,42.84213238731068
2021-02-01,49.11764705882353,42.52648170398788
2021-03-01,47.73479368612176,40.03841575126366
2021-04-01,48.96931256412648,35.69170702253466
2021-05-01,44.816253361219005,31.187129038431266
2021-06-01,42.75848715631857,28.709698478452175
2021-07-01,44.38538348971335,32.30570430001069
2021-08-01,46.75731351179486,35.407472866259226
2021-09-01,44.52371209372112,36.31817986546894
2021-10-01,44.048095486202875,36.49090587138485
2021-11-01,43.19375626805946,37.93008546983381
2021-12-01,45.769483639306124,38.82880808638121
2022-01-01,47.3194188663802,38.250029852022834
2022-02-01,49.13855552910066,38.37840276516554
2022-03-01,47.1380641128087,36.947077638653425
2022-04-01,47.29551048638093,38.13312476284781
2022-05-01,46.72014378571027,33.931593806129975
2022-06-01,47.437840959481896,31.825355847419207
2022-07-01,48.36897728218357,33.40378042700364
2022-08-01,51.35812253474494,35.727238695274806
2022-09-01,50.81909964192081,33.44516552339072
2022-10-01,52.32725465058476,32.921077162062126
2022-11-01,53.27622541879574,32.01826619010836
2022-12-01,53.810768945439534,34.54552180754469
2023-01-01,54.10176827358409,36.04698528080842
2023-02-01,55.747947345164576,37.817650189718535
2023-03-01,59.05279319711821,35.76868701961624
2023-04-01,62.24743867096616,35.87766163937812
2023-05-01,63.360638150172285,35.253823184897115
2023-06-01,65.17924291802457,35.9230486048584
2023-07-01,64.69151775683396,36.80571317374973
2023-08-01,66.72406899072486,39.74638667250076
2023-09-01,68.05724614525221,39.15889202586627
2023-10-01,71.36609605828471,40.61857528071989
2023-11-01,70.11401990271075,41.51907429512052
2023-12-01,67.32873253661,42.00514606795397
2024-01-01,72.08783181428252,42.247673642288184
2024-02-01,74.45677676373978,43.84538096005832
2024-03-01,78.26611912198777,47.10175505820161
2024-04-01,75.7370068163306,50.24792877823923
2024-05-01,77.08959338222834,51.312656503635
2024-06-01,75.75035731300619,53.082789517676936
2024-07-01,72.28488749778539,52.54659260267599
2024-08-01,68.2937857364896,54.530672082756546
2024-09-01,67.69735301007262,55.81537748347354
2024-10-01,75.91063291079557,59.075755642695704
2024-11-01,76.9558655806827,57.775207733311404
2024-12-01,81.70028388553699,54.941448613400304
