Date,ARIMA Residuals
2019-06-01,4.0079067415263125
2019-07-01,3.313606172339256
2019-08-01,2.203888487424585
2019-09-01,2.9563947671293818
2019-10-01,6.130758613614368
2019-11-01,7.62382815631608
2019-12-01,6.947380676255435
2020-01-01,8.383052768241328
2020-02-01,7.551395530600097
2020-03-01,4.171470708083483
2020-04-01,0.11439565410106667
2020-05-01,-3.6527793588509283
2020-06-01,-9.12938089102898
2020-07-01,-4.2579513572375305
2020-08-01,-0.7131892884737994
2020-09-01,-0.1779426669374189
2020-10-01,-2.8425382761584785
2020-11-01,-2.28163308085702
2020-12-01,-0.6672367254255249
2021-01-01,-3.989193884936249
2021-02-01,-3.545220924238393
2021-03-01,-2.488493415332229
2021-04-01,3.044258935112474
2021-05-01,3.3473050413389345
2021-06-01,3.718497400340574
2021-07-01,1.700916094649898
2021-08-01,0.9226057799149459
2021-09-01,-2.2701743955861247
2021-10-01,-2.9669887639897397
2021-11-01,-5.308979334697327
2021-12-01,-3.6804463338885682
2022-01-01,-1.6002046262875638
2022-02-01,0.04208736947430225
2022-03-01,-0.5755506741173377
2022-04-01,-1.6526231785502148
2022-05-01,1.9250693236865004
2022-06-01,4.7005327023585295
2022-07-01,4.004772691665423
2022-08-01,4.62198792214528
2022-09-01,6.316566447394891
2022-10-01,8.300338063577087
2022-11-01,10.103648049931486
2022-12-01,8.062464205328617
2023-01-01,6.803528306399095
2023-02-01,6.630570715259111
2023-03-01,11.935907983504713
2023-04-01,14.973107083780448
2023-05-01,16.661673263657214
2023-06-01,17.762580857737866
2023-07-01,16.343719373845587
2023-08-01,15.387125355175115
2023-09-01,17.2593254025266
2023-10-01,19.060020306895147
2023-11-01,16.85897338311021
2023-12-01,13.539142490365663
2024-01-01,18.00724243989363
2024-02-01,18.730008317770405
2024-03-01,19.234504824064757
2024-04-01,13.510747044559643
2024-05-01,13.750134131251265
2024-06-01,10.592293294176827
2024-07-01,7.614548640146623
2024-08-01,1.5908956449599287
2024-09-01,-0.33871423598438355
2024-10-01,4.565715751706051
2024-11-01,6.8630245771671525
2024-12-01,14.392730248122191
