Actual,Forecast,Lower CI,Upper CI,Date
55.47940734938972,56.33494248939674,51.946896588494425,60.72298839029905,2019-03-01
56.95674233620844,56.012025034137004,48.85773669862312,63.16631336965089,2019-04-01
48.16265962016584,55.675505288269946,46.44257659581406,64.90843398072583,2019-05-01
49.001068815259394,54.81126574508272,43.88834933593668,65.73418215422876,2019-06-01
47.192381052259,54.303795114109775,41.919400356124534,66.68818987209502,2019-07-01
46.64485526955471,55.025758215194834,41.33501812701734,68.71649830337233,2019-08-01
47.02854698119185,54.69900433497559,39.81614524129165,69.58186342865953,2019-09-01
49.9037570399943,54.41116343161977,38.42483722943462,70.39748963380491,2019-10-01
50.827719765549105,53.84553758264322,36.82714294388283,70.8639322214036,2019-11-01
50.15978573253792,53.85613692392223,35.86475685198278,71.84751699586167,2019-12-01
52.95124388145225,55.21405064334484,36.29969398201674,74.12840730467295,2020-01-01
52.68406495192579,55.7785081391126,35.98565836575098,75.57135791247423,2020-02-01
50.24447075300761,56.75449614670943,36.06804110077397,77.44095119264489,2020-03-01
45.946233778088825,56.43825424792588,34.88046925298731,77.99603924286446,2020-04-01
41.49012754779607,56.10173450205881,33.70439472080734,78.49907428331028,2020-05-01
39.06116874162741,55.237494958871594,32.03095353939004,78.44403637835315,2020-06-01
42.70564631699628,54.73002432789865,30.741562517466377,78.71848613833092,2020-07-01
45.85588663705516,55.45198742898371,30.706300220764593,80.19767463720284,2020-08-01
46.81506539007521,55.12523354876446,29.644814188332543,80.60565290919638,2020-09-01
47.03626314980146,54.83739264540864,28.64284156774138,81.0319437230759,2020-10-01
48.52391450206077,54.27176679643209,27.382043080457823,81.16149051240636,2020-11-01
49.471108872418505,54.2823661377111,26.715046320942037,81.84968595448017,2020-12-01
48.940802391870484,55.64027985713371,27.412090591572248,83.86846912269517,2021-01-01
49.11764705882353,56.204737352901475,27.333366487215052,85.0761082185879,2021-02-01
47.73479368612176,57.1807253604983,27.641952808248085,86.71949791274852,2021-03-01
48.96931256412648,56.864483461714755,26.662103545669034,87.06686337776048,2021-04-01
44.816253361219005,56.52796371584768,25.674662205182678,87.38126522651268,2021-05-01
42.75848715631857,55.663724172660466,24.172952895811125,87.15449544950981,2021-06-01
44.38538348971335,55.15625354168752,23.04066329157982,87.27184379179522,2021-07-01
46.75731351179486,55.878216642772585,23.149733656010362,88.6066996295348,2021-08-01
44.52371209372112,55.551462762553335,22.2213553502338,88.88157017487288,2021-09-01
44.048095486202875,55.263621859197514,21.34255876235291,89.18468495604212,2021-10-01
43.19375626805946,54.69799601022096,20.19609775674075,89.19989426370117,2021-11-01
45.769483639306124,54.70859535149997,19.635573463048537,89.7816172399514,2021-12-01
47.3194188663802,56.066509070922585,20.432242564889457,91.70077557695572,2022-01-01
49.13855552910066,56.63096656669035,20.44743675716459,92.81449637621611,2022-02-01
47.1380641128087,57.60695457428717,20.850438320583187,94.36347082799116,2022-03-01
47.29551048638093,57.29071267550363,19.960801419555224,94.62062393145203,2022-04-01
46.72014378571027,56.954192929636555,19.058222386486193,94.85016347278692,2022-05-01
47.437840959481896,56.08995338644934,17.636255353292718,94.54365141960596,2022-06-01
48.36897728218357,55.58248275547639,16.579031607633446,94.58593390331933,2022-07-01
51.35812253474494,56.30444585656146,16.75888339426809,95.85000831885483,2022-08-01
50.81909964192081,55.97769197634221,15.897349918468947,96.05803403421547,2022-09-01
52.32725465058476,55.689851072986386,15.081771476737643,96.29793066923513,2022-10-01
53.27622541879574,55.124225224009834,13.99517907082722,96.25327137719245,2022-11-01
53.810768945439534,55.134824565288845,13.491452450508135,96.77819668006956,2022-12-01
54.10176827358409,56.49273828471146,14.342231938788977,98.64324463063394,2023-01-01
55.747947345164576,57.05719578047922,14.409409433903399,99.70498212705505,2023-02-01
59.05279319711821,58.033183788076045,14.865625498464262,101.20074207768783,2023-03-01
62.24743867096616,57.7169418892925,14.027639813002928,101.40624396558206,2023-04-01
63.360638150172285,57.38042214342543,13.174343445483913,101.58650084136694,2023-05-01
65.17924291802457,56.51618260023821,11.799299079905602,101.23306612057081,2023-06-01
64.69151775683396,56.00871196926526,10.786793061588853,101.23063087694167,2023-07-01
66.72406899072486,56.73067507035033,11.009299023539079,102.45205111716157,2023-08-01
68.05724614525221,56.40392119013108,10.188485397147446,102.61935698311471,2023-09-01
71.36609605828471,56.11608028677526,9.411810851745855,102.82034972180466,2023-10-01
70.11401990271075,55.550454437798706,8.362415049341152,102.73849382625626,2023-11-01
67.32873253661,55.56105377907772,7.89430112420564,103.2278064339498,2023-12-01
72.08783181428252,56.91896749850033,8.779328600081605,105.05860639691906,2024-01-01
74.45677676373978,57.48342499426809,8.879772202560716,106.08707778597547,2024-02-01
78.26611912198777,58.45941300186492,9.370408680101896,107.54841732362794,2024-03-01
75.7370068163306,58.14317110308137,8.566122644385544,107.7202195617772,2024-04-01
77.08959338222834,57.8066513572143,7.745228064366756,107.86807465006184,2024-05-01
75.75035731300619,56.94241181402708,6.401255611165432,107.48356801688874,2024-06-01
72.28488749778539,56.434941183054136,5.41856304291661,107.45131932319165,2024-07-01
68.2937857364896,57.1569042841392,5.669690271794934,108.64411829648347,2024-08-01
67.69735301007262,56.83015040391995,4.876367336963398,108.7839334708765,2024-09-01
75.91063291079557,56.54230950056413,4.126110256555833,108.95850874457243,2024-10-01
76.9558655806827,55.97668365158758,3.1021121513351204,108.85125515184004,2024-11-01
81.70028388553699,55.98728299286659,2.6584453553032787,109.31612063042991,2024-12-01
